id	packet_count
10011	1	4002
10101	10101	3
10101	10301	11
10101	10401	134
10101	10501	70
10101	10911	3
10101	11001	1
10101	20031	17
10101	20251	12
10101	20301	102
10101	20711	16
10101	20851	5
10101	21031	6
10101	21151	19
10101	21251	4
10101	21411	48
10101	31301	2
10101	60201	1
10201	1	337
10201	10011	1220
10201	10301	13
10201	10801	2164
10301	1	101
10301	10011	1124
10301	10201	14
10301	10501	1
10301	10701	29
10301	10801	1842
10301	11101	313
10401	10301	674
10401	10501	98
10401	10701	483
10401	11001	6
10401	11101	47
10401	20301	4
10401	40031	6
10401	40131	1
10401	40231	1
10501	10301	1387
10501	10401	41
10501	10601	7
10501	10701	1297
10501	10801	94
10501	11001	35
10501	11101	465
10501	20301	36
10501	21411	2
10501	40031	24
10501	40131	14
10501	50531	1
10601	10301	975
10601	10401	46
10601	10501	247
10601	10701	1051
10601	11001	188
10601	11101	3
10601	20031	4
10601	20301	116
10601	40031	50
10601	40131	30
10601	40231	4
10701	1	21
10701	10011	422
10701	10301	83
10701	10401	1
10701	10801	2165
10701	11101	430
10801	1	3672
10911	10101	6
10911	10911	2
10911	11001	8
10911	21411	3
10911	21501	279
10911	31301	116
10911	50031	17
10911	50331	6
10911	50431	289
10911	50531	133
10911	60101	13
11001	10101	3
11001	10301	2113
11001	10401	6
11001	10501	120
11001	10601	23
11001	10701	447
11001	10801	59
11001	10911	3
11001	11001	2
11001	11101	84
11001	20301	28
11001	40031	7
11101	1	727
11101	10011	491
11101	10301	15
11101	10701	17
11101	10801	1446
20031	10101	2
20031	10401	357
20031	10501	1361
20031	11001	1259
20031	20711	19
20031	20851	2
20031	20941	16
20031	21031	13
20031	21151	13
20031	21251	6
20031	21411	34
20031	21501	2
20031	31301	7
20031	40131	12
20031	40331	8
20251	10401	508
20251	10501	435
20251	20031	53
20251	20301	1811
20251	20711	148
20251	20851	3
20251	20941	9
20251	21031	51
20251	21151	71
20251	21251	13
20251	21411	31
20251	40131	4
20251	40331	1
20301	10401	163
20301	10501	405
20301	10701	2650
20301	11001	201
20301	20251	1
20301	20941	2
20301	21151	1
20301	21411	7
20301	31301	1
20301	50431	3
20301	50531	1
20301	60101	1
20301	60201	1
20711	10401	435
20711	10501	1502
20711	20251	1
20711	20301	1217
20711	20851	3
20711	20941	8
20711	21151	16
20711	21411	33
20711	21501	9
20711	30351	2
20711	31301	2
20711	40331	20
20711	50531	2
20711	60101	1
20711	60201	5
20851	10401	624
20851	10501	170
20851	20031	1
20851	20251	33
20851	20301	1224
20851	20711	69
20851	20941	27
20851	21031	22
20851	21151	21
20851	21411	65
20851	40031	2
20851	40231	1
20941	10401	631
20941	10501	475
20941	20031	18
20941	20251	15
20941	20301	832
20941	20711	11
20941	20851	7
20941	21031	5
20941	21151	4
20941	21251	1
20941	21411	38
21031	10401	573
21031	10501	1301
21031	20031	129
21031	20251	25
21031	20301	1119
21031	20711	123
21031	20851	61
21031	20941	37
21031	21151	23
21031	21251	74
21031	21411	125
21031	31301	1
21151	10101	3
21151	10401	29
21151	10501	1896
21151	20031	94
21151	20251	2
21151	20301	1798
21151	20711	69
21151	20851	16
21151	20941	25
21151	21031	29
21151	21411	95
21151	21501	9
21251	10101	1
21251	10401	455
21251	10501	73
21251	10601	253
21251	11001	172
21251	20031	45
21251	20251	39
21251	20301	1224
21251	20711	50
21251	20851	10
21251	20941	36
21251	21031	38
21251	21151	9
21251	40131	10
21411	10401	264
21411	10501	1119
21411	10701	210
21411	20251	2
21411	20301	944
21411	20711	28
21411	20851	10
21411	20941	14
21411	21151	6
21411	21501	8
21411	50431	4
21411	60201	3
21501	10401	29
21501	10501	1174
21501	20301	1056
21501	20711	57
21501	20941	5
21501	21411	90
21501	30351	1
21501	30451	1
21501	50431	14
21501	50531	16
21501	60101	1
21501	60201	7
30151	20711	87
30151	21411	1009
30151	21501	890
30151	30251	6
30151	30351	56
30151	30451	23
30151	30551	65
30151	30651	16
30151	31051	29
30151	31251	11
30151	31301	419
30151	50431	180
30151	60001	6
30151	60101	51
30151	60201	68
30251	21501	35
30251	30151	248
30251	30351	230
30251	30551	138
30251	30651	29
30251	30751	43
30251	31251	27
30251	31301	583
30251	50431	1337
30251	60001	15
30351	10501	378
30351	20711	16
30351	21411	1129
30351	21501	357
30351	30151	14
30351	30551	8
30351	30751	1
30351	31051	1
30351	31251	6
30351	31301	382
30351	50031	15
30351	50131	165
30351	50331	13
30351	50431	472
30351	60001	2
30351	60101	20
30351	60201	29
30451	21411	1203
30451	21501	340
30451	30151	109
30451	30351	11
30451	30551	160
30451	30651	100
30451	30751	30
30451	30951	1
30451	31251	84
30451	31301	643
30451	60001	18
30451	60101	79
30451	60201	40
30551	21411	1443
30551	21501	344
30551	30151	10
30551	30351	95
30551	30451	15
30551	30651	18
30551	30751	5
30551	31251	20
30551	31301	413
30551	50031	2
30551	50331	171
30551	50431	161
30551	60001	5
30551	60101	9
30551	60201	13
30651	21411	995
30651	21501	950
30651	30151	16
30651	30351	92
30651	30451	12
30651	30551	159
30651	30751	42
30651	31051	2
30651	31251	8
30651	31301	555
30651	50431	96
30651	60001	1
30651	60101	51
30651	60201	12
30751	21411	138
30751	21501	705
30751	30151	162
30751	30251	16
30751	30351	367
30751	30451	40
30751	30551	342
30751	30651	251
30751	30951	1
30751	31251	38
30751	31301	1032
30751	50031	5
30751	50431	9
30751	60001	32
30751	60101	1
30751	60201	134
30851	30551	17
30851	30651	828
30851	30751	291
30851	30951	3
30851	31301	1
30851	60001	276
30951	21411	2
30951	21501	2
30951	30551	1
30951	31301	1
30951	60001	3
30951	60201	1
31051	21411	1168
31051	21501	464
31051	30151	90
31051	30351	9
31051	30651	6
31051	31251	103
31051	31301	741
31051	50431	192
31051	60001	2
31051	60201	97
31131	30151	3
31131	30351	117
31131	31251	45
31131	31301	367
31131	60001	9
31131	60101	147
31251	20031	2
31251	21411	807
31251	21501	983
31251	30151	4
31251	30351	56
31251	30451	3
31251	30551	61
31251	30751	1
31251	31051	15
31251	31301	427
