result_time	node_id	parent_id	stats_frssi	stats_brssi	etx	temperature	humidity	voltage
2015-08-28 21:50:51.738	20941	21501	-94	-86	10	19.78	60.04	3.806
2015-08-28 21:51:03.446	20941	21501	-94	-85	10	19.79	60.04	3.806
2015-08-28 21:51:29.258	20941	21501	-94	-85	10	19.79	60.01	3.806
2015-08-28 21:52:32.154	20941	21501	-94	-84	10	19.75	60.03	3.818
2015-08-28 21:52:55.154	20941	21501	-94	-85	10	19.75	60.03	3.806
2015-08-28 21:53:52.978	20941	21501	-94	-85	10	19.74	60.0	3.818
2015-08-28 21:54:12.858	20941	21501	-94	-86	10	19.72	60.0	3.818
2015-08-28 21:55:49.286	20941	21501	-94	-85	10	19.68	60.02	3.818
2015-08-28 21:56:53.478	20941	21501	-94	-85	10	19.67	60.02	3.818
2015-08-28 21:58:21.61	20941	21501	-94	-84	10	19.64	60.04	3.806
2015-08-28 22:00:01.966	20941	21501	-94	-84	10	19.6	60.07	3.818
2015-08-28 22:00:29.675	20941	21501	-94	-84	10	19.6	60.07	3.818
2015-08-28 22:02:05.026	20941	21501	-94	-84	10	19.57	60.06	3.806
2015-08-28 22:02:36.351	20941	21501	-94	-86	10	19.56	60.06	3.818
2015-08-28 22:02:56.226	20941	21501	-94	-84	10	19.54	60.06	3.806
2015-08-28 22:03:44.279	20941	21501	-94	-84	10	19.54	60.06	3.818
2015-08-28 22:04:26.402	20941	21501	-94	-85	10	19.53	60.06	3.818
2015-08-28 22:04:48.447	20941	21501	-94	-84	10	19.53	60.06	3.806
2015-08-28 22:05:30.783	20941	21501	-94	-85	10	19.52	60.05	3.806
2015-08-28 22:05:52.647	20941	21501	-94	-84	10	19.52	60.05	3.818
2015-08-28 22:08:53.578	20941	21501	-94	-86	10	19.45	60.04	3.806
2015-08-28 22:09:22.522	20941	21501	-94	-86	10	19.45	60.04	3.806
2015-08-28 22:10:20.263	20941	21501	-94	-85	10	19.43	60.01	3.806
2015-08-28 22:10:50.867	20941	21501	-94	-85	10	19.43	60.01	3.806
2015-08-28 22:11:23.723	20941	21501	-91	-85	10	19.4	60.04	3.806
2015-08-28 22:11:56.931	20941	21501	-94	-86	10	19.39	60.04	3.806
2015-08-28 22:13:01.451	20941	21501	-94	-85	10	19.38	60.0	3.806
2015-08-28 22:13:54.678	20941	21501	-94	-85	10	19.36	60.03	3.818
2015-08-28 22:15:15.614	20941	21501	-94	-86	10	19.33	60.03	3.818
2015-08-28 22:15:53.546	20941	21501	-94	-85	10	19.32	60.02	3.806
2015-08-28 22:16:29.202	20941	21501	-94	-85	10	19.31	60.02	3.806
2015-08-28 22:17:00.942	20941	21501	-94	-85	10	19.31	60.02	3.806
2015-08-28 22:17:31.527	20941	21501	-94	-85	10	19.29	60.02	3.818
2015-08-28 22:17:59.743	20941	21501	-94	-85	10	19.28	60.02	3.806
2015-08-28 22:18:31.211	20941	21501	-94	-85	10	19.28	59.99	3.806
2015-08-28 22:19:26.287	20941	21501	-94	-86	10	19.25	60.01	3.806
2015-08-28 22:20:33.442	20941	21501	-94	-85	10	19.24	60.01	3.806
2015-08-28 22:20:50.695	20941	21501	-94	-85	10	19.22	60.01	3.806
2015-08-28 22:21:22.457	20941	21501	-94	-85	10	19.22	60.01	3.818
2015-08-28 22:21:55.263	20941	21501	-94	-87	10	19.2	60.0	3.806
2015-08-28 22:24:15.282	20941	21501	-94	-85	10	19.18	60.0	3.806
