id	packet_count
10011	1	52326
10801	1	47779
10101	1	34196
10301	1	27416
20941	21831	24680
20941	20301	14135
10201	1	13852
21501	10501	13417
20711	10501	12223
10501	10701	11939
10201	10801	11086
11001	10301	10061
30251	21501	9784
10501	10301	9657
20941	22431	9436
11101	1	8900
10701	1	8822
10701	10301	8740
40031	10701	8348
20441	10301	8257
11001	10701	8247
10301	10801	8225
30851	30651	8142
10911	10301	7927
20941	21931	7901
30951	21501	7714
10201	10011	7520
20301	10501	7112
10701	10801	7081
20031	10501	6840
10301	10011	6565
50231	21501	6502
20941	21631	6288
40131	10701	6143
10601	10701	6052
50031	21501	6025
50331	10501	5933
50531	10501	5920
30651	21501	5906
10201	10101	5829
31301	21501	5388
60001	21501	5353
30751	21501	5336
21501	20301	5090
21501	20711	5074
21031	10501	4810
10911	10701	4539
20641	20441	4479
30151	21501	4393
10701	11001	4282
30551	21501	4207
11001	10101	4106
20711	20301	4033
40231	10501	3952
20301	10701	3936
20941	10401	3863
11301	20441	3836
20031	21831	3775
11101	10801	3711
20851	20301	3710
20551	10501	3671
20551	10601	3587
20251	20301	3542
21151	20301	3514
20031	11301	3509
21411	10501	3498
20451	10501	3487
10701	10011	3435
20301	20551	3432
20641	10401	3398
20301	20451	3391
30351	21411	3367
30251	31301	3337
10501	11001	3335
20711	20551	3330
20641	21831	3321
40231	10701	3280
11001	1	3223
50031	21411	3149
20551	10701	3147
20451	20551	3142
10701	11101	3125
31251	21501	3099
10501	10401	3058
20451	10301	3039
10301	10101	3019
20441	21831	2993
30551	21411	2975
20711	21831	2969
10501	10601	2923
11001	10011	2919
20851	10401	2912
30151	21411	2906
10911	11001	2884
50131	21501	2869
20251	10501	2846
20031	20451	2842
10601	10501	2838
20441	10401	2813
20251	10401	2801
50531	20711	2796
10301	10201	2787
20641	10501	2725
30551	31301	2699
31051	21501	2684
30451	21411	2668
10701	10201	2661
60201	21501	2631
10401	10501	2619
21831	10801	2616
21411	20301	2605
30451	21501	2592
21331	21831	2588
20301	11301	2588
11301	10701	2584
20711	20451	2540
30751	31301	2537
11301	21831	2536
21151	10501	2520
20031	20551	2510
20441	11001	2510
20551	11001	2501
10501	11101	2483
10301	10701	2457
20031	11001	2434
31131	10501	2365
20031	20711	2335
22431	11301	2324
20451	10401	2316
20151	10601	2310
30651	31301	2295
20551	20451	2248
11001	10201	2223
20441	10501	2207
30651	21411	2203
21251	10501	2200
20551	21251	2189
50031	31301	2175
22131	11301	2173
30251	30151	2173
30851	30951	2168
60201	21411	2157
30851	60001	2149
21501	20031	2126
20651	10501	2125
50131	50531	2119
10401	10601	2116
20551	20651	2074
20301	20711	2073
20641	11301	2055
21931	11301	2033
10301	11001	2014
21031	21831	1994
21031	20301	1984
20641	11001	1972
30851	30751	1970
20941	21501	1958
40231	10601	1946
40331	10501	1943
10201	10301	1930
11001	10501	1927
20551	10401	1925
50331	20301	1925
30351	21501	1915
40131	10501	1913
40131	40031	1908
21251	20301	1908
31131	31301	1904
40231	11001	1862
20451	20301	1859
31301	10501	1851
50131	50331	1841
21151	20711	1829
10401	40031	1806
21251	10701	1805
20441	10801	1804
20851	20711	1792
20301	20031	1789
