node_id	motetype
0	0
251	0
1979	1	
2621	1
7685	1
7785	1
7875	0
8192	0
8231	0
8449	1
9833	1
10011	1
10011	0
10101	1
10201	1
10279	0
10301	1
10301	0
10401	1
10495	1
10501	0
10501	1
10601	1
10601	0
10701	1
10701	0
10779	0
10791	0
10801	1
10857	1
10867	0
10911	1
10913	1
10921	1
10947	0
10957	0
10967	0
11001	0
11001	3
11001	1
11101	1
11167	0
11201	1
11203	0
11301	1
11369	1
11401	1
11525	1
11679	0
12137	1
12827	0
12905	1
13339	0
13473	1
13527	0
14275	0
15009	1
15131	0
15219	0
15299	0
15319	0
15387	0
16039	0
16343	0
16543	0
16579	0
16835	0
17569	1
17623	0
17691	0
17825	1
18081	1
18215	1
18391	0
18459	0
18495	1
18983	0
19751	0
19827	0
20031	1
20031	0
20151	2
20151	0
20251	0
20301	1
20441	2
20451	2
20451	0
20541	2
20550	2
20551	0
20551	2
20611	2
20641	2
20651	0
20651	3
20651	2
20663	1
20711	1
20851	0
20851	2
20941	3
20941	0
20951	0
21031	0
21151	0
21151	1
21167	0
21251	0
21251	1
21331	0
21357	1
21411	1
21411	0
21497	1
21501	1
21501	0
21503	1
21631	2
21659	0
21675	2
21731	2
21831	2
21931	2
21991	1
22031	2
22131	2
22231	2
22331	2
22431	2
22531	2
26187	0
26356	0
27743	0
29939	0
30031	1
30051	1
30051	0
30151	0
30242	0
30251	0
30251	1
30251	3
30254	0
30351	0
30451	0
30451	3
30551	2
30551	0
30610	1
30649	0
30651	0
30651	3
30739	0
30746	0
30751	0
30751	2
30851	2
30851	0
30851	3
30951	0
31051	3
31051	0
31131	1
31163	0
31251	0
31301	1
31301	2
31643	1
32589	1
35072	2
40031	2
40031	0
40131	0
40191	0
40231	0
40331	0
42358	0
45867	0
45935	0
49307	0
49959	0
50031	0
50131	0
50131	3
50141	0
50215	0
50231	1
50231	0
50331	0
50431	3
50431	2
50431	1
50431	0
50531	0
50943	2
52335	0
54827	0
55374	0
59423	0
60001	1
60101	1
60101	0
60110	1
60185	2
60201	2
60331	2
60431	2
60531	2
60631	1
60631	2
60731	2
60831	2
60931	2
61031	3
61031	2
61131	1
61131	2
61231	2
61331	2
61431	2
61531	2
61531	3
61631	2
61731	2
61738	0
61831	2
61930	0
61931	2
62031	2
62131	2
62231	2
64043	0
64053	0
65280	0
