id	packet_count
10011	1	9825
10101	1	9824
10301	1	4746
10501	10301	3937
10201	1	3102
10201	10011	2910
20451	10301	2681
20301	10501	2551
21501	10501	2501
11001	10011	2335
21501	20301	2307
20031	10501	2249
20301	20451	2202
10501	10701	2183
21501	20711	2128
10201	10101	2116
11001	10101	2087
11001	10301	2061
20301	20551	2058
20551	10701	2032
11001	1	2026
10701	10301	2008
20711	10501	1952
10301	10101	1937
20031	20451	1839
20711	20551	1756
20711	10301	1755
20551	11001	1742
20711	20451	1697
10701	1	1681
20031	20551	1616
30251	21501	1612
20551	20451	1499
20451	10501	1477
20451	20551	1476
20551	10501	1473
21501	20031	1387
10501	11001	1374
10701	11001	1228
10201	10301	1053
20031	20711	1010
10301	10011	1007
20301	20711	1005
10301	11001	987
20301	20031	978
20451	11001	968
11001	10701	935
20031	10301	849
20711	20031	803
20551	10301	793
20941	20551	781
20451	20711	778
20551	20711	695
10301	10701	688
20451	10701	684
20451	20031	677
10501	20451	634
20031	11001	629
20941	20451	623
10701	10011	592
10501	20551	587
20551	20031	584
20031	20301	566
10701	10201	565
20711	10701	563
20711	20301	549
20551	20301	537
10201	10701	535
20451	20301	509
21501	20551	483
20941	10501	415
10701	10501	374
20941	20711	367
10501	20711	332
20941	20301	330
10501	20031	325
20031	10701	311
20301	11001	301
21501	20451	289
20941	20031	254
20711	11001	222
21501	20941	206
20031	10011	203
10501	20301	194
20301	21501	181
10701	20551	172
20301	20941	169
20031	20941	168
10801	1	168
11001	10501	167
20711	21501	145
20451	20941	129
10301	10201	125
20711	20941	88
10301	10501	86
11001	20551	83
20031	21501	82
20451	21501	79
10501	10101	77
20551	20941	69
20551	21501	62
11001	20451	62
10701	20031	60
20301	10301	58
20301	10701	57
10701	20711	45
11001	20031	43
10201	10801	41
10301	10801	41
50231	21501	40
10701	10101	39
30751	21501	35
10301	20551	31
10701	20301	30
10301	20451	25
10701	20451	24
10501	20941	24
11001	20301	24
10501	21501	19
20031	10101	11
10301	20031	7
20941	21501	7
21501	10701	7
10701	20941	6
11001	20711	6
20941	10701	6
10301	20301	5
10301	20711	4
10501	10501	1
10101	10011	1
20451	20451	1
50231	20451	1
10701	21501	1
